Branch Path,Variable,Scenario,Region,Scale,Units,Per...,Expression
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Capacity Retirement,Baseline Simulation,Cambodia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Capacity Retirement,Baseline Simulation,Indonesia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Capacity Retirement,Baseline Simulation,Laos,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Capacity Retirement,Baseline Simulation,Malaysia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Capacity Retirement,Baseline Simulation,Myanmar,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Capacity Retirement,Baseline Simulation,Philippines,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Capacity Retirement,Baseline Simulation,Singapore,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Capacity Retirement,Baseline Simulation,Thailand,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Capacity Retirement,Baseline Simulation,Vietnam,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Capacity Retirement,Baseline Simulation,Timor Leste,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Capacity Retirement,Baseline Simulation,Base Template,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Capacity Retirement,Baseline Simulation,Brunei,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Capacity Retirement,Baseline Simulation,Cambodia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Capacity Retirement,Baseline Simulation,Indonesia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Capacity Retirement,Baseline Simulation,Laos,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Capacity Retirement,Baseline Simulation,Malaysia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Capacity Retirement,Baseline Simulation,Myanmar,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Capacity Retirement,Baseline Simulation,Philippines,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Capacity Retirement,Baseline Simulation,Singapore,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Capacity Retirement,Baseline Simulation,Thailand,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Capacity Retirement,Baseline Simulation,Vietnam,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Capacity Retirement,Baseline Simulation,Timor Leste,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Capacity Retirement,Baseline Simulation,Base Template,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Capacity Retirement,Baseline Simulation,Brunei,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Capacity Retirement,Baseline Simulation,Cambodia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Capacity Retirement,Baseline Simulation,Indonesia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Capacity Retirement,Baseline Simulation,Laos,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Capacity Retirement,Baseline Simulation,Malaysia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Capacity Retirement,Baseline Simulation,Myanmar,,MW,,0
